match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2011-05-04,2011,Pune Warriors,Mumbai Indians,Mumbai Indians,3,2,1,0
2011-05-04,2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,3,3,0,1
2011-05-05,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,3,2,1,1
2011-05-05,2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2011-05-06,2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,7,4,3,1
2011-05-07,2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians,3,2,1,1
2011-05-07,2011,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,2,3,-1,1
2011-05-08,2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,2,3,-1,1
2011-05-08,2011,Kings XI Punjab,Pune Warriors,Pune Warriors,2,4,-2,0
2011-05-09,2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,5,2,3,0
2011-05-10,2011,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2,3,-1,1
2011-05-10,2011,Deccan Chargers,Pune Warriors,Pune Warriors,5,2,3,0
2011-05-11,2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2,3,-1,0
2011-05-12,2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,3,5,-2,1
2011-05-13,2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,5,3,2,0
2011-05-14,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,3,7,-4,1
2011-05-14,2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,4,4,0,0
2011-05-15,2011,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2,3,-1,1
2011-05-15,2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,2,4,-2,1
2011-05-16,2011,Pune Warriors,Deccan Chargers,Deccan Chargers,6,2,4,0
2011-05-17,2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2,3,-1,1
2011-05-18,2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,6,3,3,1
2011-05-19,2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,3,5,-2,0
2011-05-20,2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,6,5,1,0
2011-05-21,2011,Kings XI Punjab,Deccan Chargers,Deccan Chargers,4,5,-1,0
2011-05-22,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,3,2,1,0
2011-05-22,2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,5,4,1,1
2011-05-24,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2,2,0,0
2011-05-25,2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,3,3,0,1
2011-05-27,2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,3,2,1,1
2011-05-28,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,4,1,3,1
2012-04-08,2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2,3,-1,1
2012-04-08,2012,Pune Warriors,Kings XI Punjab,Pune Warriors,2,2,0,1
2012-04-09,2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,2,3,-1,0
2012-04-10,2012,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,3,2,1,0
2012-04-10,2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,3,3,0,1
2012-04-11,2012,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2,3,-1,1
2012-04-12,2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2,2,0,1
2012-04-12,2012,Kings XI Punjab,Pune Warriors,Kings XI Punjab,4,4,0,1
2012-04-13,2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,3,2,1,1
2012-04-14,2012,Pune Warriors,Chennai Super Kings,Pune Warriors,2,2,0,1
2012-04-15,2012,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2012-04-15,2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,3,2,1,0
2012-04-16,2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,5,6,-1,0
2012-04-17,2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2,8,-6,1
2012-04-17,2012,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,2,3,-1,1
2012-04-18,2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,3,3,0,0
2012-04-19,2012,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,3,2,1,1
2012-04-19,2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,5,2,3,1
2012-04-20,2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2,3,-1,0
2012-04-21,2012,Delhi Daredevils,Pune Warriors,Pune Warriors,2,2,0,0
2012-04-21,2012,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2,4,-2,1
2012-04-22,2012,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,6,2,4,0
2012-04-22,2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,3,4,-1,0
2012-04-23,2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2,3,-1,0
2012-04-24,2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils,3,3,0,0
2012-04-25,2012,Kings XI Punjab,Mumbai Indians,Mumbai Indians,3,3,0,0
2012-04-26,2012,Pune Warriors,Deccan Chargers,Deccan Chargers,2,4,-2,0
2012-04-27,2012,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,3,2,1,1
2012-04-28,2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,7,3,4,0
2012-04-28,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,6,5,1,1
2012-04-29,2012,Mumbai Indians,Deccan Chargers,Mumbai Indians,2,3,-1,1
2012-04-29,2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2,6,-4,1
2012-04-30,2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,2,2,0,0
2012-05-01,2012,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,2,2,0,0
2012-05-01,2012,Deccan Chargers,Pune Warriors,Deccan Chargers,2,5,-3,1
2012-05-02,2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,4,4,0,0
2012-05-03,2012,Pune Warriors,Mumbai Indians,Mumbai Indians,2,4,-2,0
2012-05-04,2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,4,3,1,1
2012-05-05,2012,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,3,4,-1,0
2012-05-05,2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,5,2,3,1
2012-05-06,2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians,3,2,1,1
2012-05-06,2012,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,4,2,2,1
2012-05-07,2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,6,2,4,0
2012-05-08,2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals,3,3,0,0
2012-05-08,2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2012-05-09,2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,3,3,0,0
2012-05-10,2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2012-05-10,2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,2,4,-2,0
2012-05-11,2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,3,2,1,0
2012-05-12,2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,2,2,0,1
2012-05-12,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,5,3,2,0
2012-05-13,2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,3,2,1,1
2012-05-13,2012,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,5,3,2,1
